"","APV","ATV","IDV","LPV","NFV","RTV","SQV"
"1",2.3,NA,32.7,NA,23.4,51.6,37.8
"2",76,NA,131,200,50,200,156
"3",2.8,NA,12,NA,100,41,145.6
"4",6.5,9.2,2.1,5.3,5,36,13
"5",8.3,NA,100,NA,161.1,170.2,100
"6",82,75,400,400,91,400,400
"7",2.3,NA,12,NA,11,62.2,400
"8",0.5,NA,0.5,0.5,0.6,0.5,0.7
"9",33,38,19,90,9.3,109,74
"10",14.9,NA,22.3,NA,42.2,104.8,41
"11",7.7,NA,69.6,39,110.8,NA,11.6
"12",3.2,NA,41.5,49.3,75.7,176.8,32.5
"13",2.8,NA,48.9,NA,80.7,121.7,42.1
"14",8.8,NA,9.4,35,16,88,33
"15",6.1,10,28,11,41,36,65
"16",14,9.5,41,40,43,69,2.2
"17",4.2,NA,25.2,25.2,53.2,190,33.2
"18",9.6,37,18,37,14,62,34
"19",6.2,NA,12,NA,10.2,75.5,400
"20",3.5,NA,4.4,NA,6.2,8.6,1.1
"21",3.1,NA,8.7,NA,32,14.7,16.9
"22",1.2,NA,0.7,NA,3.6,1.7,1.3
"23",0.9,1,1.2,0.8,2.3,1,1
"24",11,37,20,15,51,72,340
"25",1,NA,87,16,297,23,71
"26",31,360,200,316,200,200,290
"27",42,96,21,27,200,81,200
"28",1.7,1.8,3.3,1.1,5.2,3.3,3.8
"29",3,32,35,32,29,41,164
"30",9.5,20,8.2,11,72,6.7,46
"31",31,NA,59,NA,156,400,400
"32",1.5,NA,1,NA,2.2,1.8,1.1
"33",0.8,NA,0.8,0.7,1,1,0.8
"34",3.9,NA,20.2,NA,21.6,74.1,9.2
"35",0.1,NA,1,0.5,2.9,0.6,0.6
"36",NA,NA,155.8,73.7,67.7,176,208.7
"37",0.7,NA,0.8,NA,0.8,0.9,1.1
"38",2.7,21,24,6.1,42,29,132
"39",15,38,25,85,50,400,9.4
"40",39,NA,18,NA,48,84,130
"41",61,90,39,400,51,400,184
"42",NA,NA,21,7.5,55,54,85
"43",4.4,NA,5.2,NA,8.6,8.5,3.4
"44",2.6,NA,46,30,59,59,322
"45",4.9,15,18,5.9,24,27,73
"46",10,0.7,1.1,4,2.3,3.7,1.5
"47",0.8,1.2,1.1,0.7,1.6,0.8,0.9
"48",3.9,1.8,2.3,2.6,2.5,6.4,1.9
"49",15,38,25,85,50,300,9.4
"50",NA,NA,1.2,1.2,3,1.6,1
"51",1.4,0.9,1,0.8,1.6,1.2,0.8
"52",1.1,NA,3,1.3,5.9,1.8,1.1
"53",NA,NA,0.8,0.8,1.2,1.2,0.7
"54",2.3,NA,6.3,26,15,65,20
"55",6.2,NA,5,21,17,77,38
"56",3.7,7.1,6.6,13,9.9,63,24
"57",0.9,NA,1,1,1.4,0.9,0.9
"58",46,78,46,97,59,300,400
"59",4.7,29,25,34,28,45,147
"60",8.3,79,16,12,400,70,400
"61",58,5.6,42,400,23,400,6.4
"62",2,NA,24,20,72,73,27
"63",69,57,21,33,47,69,3.5
"64",1.5,6.3,8.3,11,12,25,2.2
"65",11,NA,42,44,71,84,2.7
"66",2.1,16,12,22,15,20,82
"67",2.1,NA,22.2,7.8,24.7,47.8,104.8
"68",0.8,2.8,3.2,1.5,3.5,4.2,0.9
"69",61,NA,38,65,66,58,41
"70",NA,NA,26,25,37,83,7.4
"71",7.5,NA,21,6.3,62,18,33
"72",9.7,62,49,32,63,151,57
"73",NA,NA,8.3,3,22,5.9,3.4
"74",NA,NA,16,20,37,102,7.9
"75",6,2.8,8.1,10,7.4,17,1.5
"76",0.4,2,1.9,0.9,3.7,3.1,2.5
"77",NA,NA,0.7,0.7,11,0.6,0.4
"78",NA,NA,48,24,100,90,58
"79",NA,NA,0.8,1,0.9,1.1,0.8
"80",11,18,28,17,53,43,62
"81",NA,NA,1.4,1.2,2.6,9,1.2
"82",1.6,NA,3.3,NA,3.1,7.4,0.5
"83",1.2,NA,2,1.1,3.7,1.6,1.2
"84",NA,NA,6,4,11,2.1,1.1
"85",9.5,1,46,112,16,36,0.9
"86",0.4,NA,0.6,0.6,0.7,0.8,0.8
"87",0.4,NA,0.5,0.4,0.9,0.5,0.7
"88",NA,NA,33,15,16,45,18
"89",14,9.1,21,75,30,62,22
"90",NA,NA,19,37,41,83,10
"91",NA,NA,1.5,0.9,47,1.3,2.3
"92",15,1.7,35,120,11,55,2
"93",0.8,0.8,0.6,0.7,0.4,0.6,0.9
"94",NA,NA,5.6,10,4.9,20,26
"95",3.9,NA,4.8,NA,24,10,3.2
"96",8.4,19,15,28,24,72,133
"97",300,260,18,51,67,280,25
"98",2.9,2.2,4.4,3.2,3.7,8.5,0.6
"99",6.1,NA,9.3,NA,19,5.5,3.8
"100",69,NA,126,400,267,400,92
"101",NA,NA,0.9,0.7,1.3,0.8,0.7
"102",9.8,22,13,7.1,400,17,53
"103",5.3,NA,8.8,5.3,16.4,24.5,23.8
"104",12,3.4,2,2.9,4.7,4.4,1.9
"105",21,68,400,400,57,400,400
"106",8.8,NA,9.4,28,56,187,306
"107",1.4,11,17,4.4,26,15,20
"108",1.1,1.1,1,1,1.3,1.1,1.2
"109",5.4,15,19,7.2,34,44,70
"110",17,26,21,14,26,70,13
"111",4.4,NA,12.5,NA,3,1.9,0.6
"112",11,15,33,34,56,100,1.5
"113",2.8,NA,7.7,NA,7.7,15.2,6.5
"114",3.2,NA,7.5,NA,9.3,4.2,2.6
"115",10.2,NA,50.7,NA,65.8,128,12.3
