"drpm" "wddp" "lddp" "gmddp" "indcrp" "longcrp"
2964.22554721627 5391.49167998276 1853.56350476493 -2788.81011152411 4336.03482280711 4102.29788449769
3389.28458346352 5521.66260456439 1885.99687983073 -2842.70720378921 4518.53472022546 4335.49344710847
2591.90995110208 5131.51558661215 1687.01243697758 -2655.43239725033 4071.34219919585 3949.27796648247
3034.56267571 5182.02728724366 1821.27960663511 -2633.69969781508 4117.6444904003 3776.87898353944
2686.98546012028 5201.51808775185 1748.95268825743 -2695.51394864528 4108.68299407177 3989.60651804288
2869.94736017116 5255.22035608565 2093.02899923056 -2706.09713486264 4057.7788813169 3941.33406037298
2966.82363763349 5310.33336703028 1982.3570302583 -2753.50446305316 Inf 4124.39005286996
3006.23105691481 5476.42192108791 1902.8226971905 -2811.88735314655 4353.30707944241 4277.83690855334
3521.0751865666 5667.43478558637 1698.06181474319 -2906.00713786195 Inf 4495.82435173749
2916.36686328997 4982.37566445666 1803.73427056148 -2539.90107274288 3953.66083774116 3786.79699680278
3471.88704396523 5545.15732228903 1848.29479397389 -2848.55676367177 4458.401070066 4328.65346350272
2848.32699391984 5355.02868070409 1734.94776928445 -2766.30969881855 4322.95103425009 4220.68740384012
2986.08194711496 5284.87498881329 1779.60368083244 -2725.75097935768 4262.01955719539 4145.36947602602
2805.02777156401 5394.2528569402 1670.48590214646 -2767.80184482891 Inf 4190.71680341605
3335.73629588016 5378.60274276999 1903.32863487824 -2791.3024024562 4299.18296287047 3969.18605155789
3032.71915312879 5376.67341443577 1777.03007392665 -2782.15490223849 Inf 4213.02831229201
2585.51319614083 5128.96216608029 1715.62222406418 -2631.87728204169 3960.50310992343 3893.84823245645
3092.67903891055 5281.77832614316 1812.53085252897 -2714.12301507322 Inf 4077.71792569712
3196.14753040403 5262.52615180873 1917.44493690667 -2703.59094972998 4095.67042256833 4056.50101345312
2997.62794750225 5121.61031317083 1952.65041043326 -2659.29762000434 4088.30700336579 3920.20573732525
2627.89779170644 5194.15434248133 1994.6225299753 -2662.15571762092 4102.3957185832 4010.68664726596
3086.31816068557 5378.40878362856 1738.30868074764 -2758.49173300244 4259.47043924283 4170.27738863598
3148.98440722644 5309.00548980227 1819.07828236715 -2719.12201818381 4562.56924656298 4085.87214218813
2990.1448432423 5270.01813542499 1777.12688826129 -2725.21673041609 4165.13966790329 4084.39981921985
2944.75754318163 5399.25731578986 1825.67448038886 -2805.80773598895 4354.32143184975 4280.90398625475
3063.04756142668 5419.86471892016 1889.99497322726 -2808.65165497291 4417.98801704239 4215.33720938391
3144.77736167433 5362.95196413678 1772.25082820271 -2774.27254653867 4327.59931083055 4176.1724932706
2954.58658766556 5388.25007278881 1822.67252965021 -2779.4559945772 4378.90029441028 4223.51414774648
2715.7307473398 5068.80119190463 1686.17545837958 -2621.98263304967 4042.40838740139 3914.07120052003
2737.92632553289 5352.27526480093 1827.55359018872 -2764.27260581072 4180.00519856075 4134.38002864778
3206.0214598569 5437.44503555453 1734.16750919108 -2788.87185627131 4268.4026449892 4102.34517783112
3333.82360536954 5351.21209930296 1758.62812922882 -2757.14210697603 4468.20773505154 4122.88356823421
2864.75510417036 5173.21505577057 1835.39551095452 -2689.02291895453 4073.3901862538 3936.25048704907
3227.5752994012 5502.99757885165 1704.12265810777 -2819.21177360259 4530.20973311925 4258.32981198818
3182.66969321677 5458.04924035694 1784.60922116067 -2807.74954970159 4408.12981562529 4187.13285583668
3062.47508556831 5420.62469734812 1794.36578919512 -2802.43052244999 4356.97792740882 4165.29766742903
3333.40771568573 5441.11928191424 1771.81228119473 -2811.33413387211 4406.19752067696 4115.56045399561
2974.25709747162 5316.41778977951 1672.5354310218 -2750.72894621607 4249.87760977909 4134.69683552726
2523.92660691049 5232.7937264622 1755.97856484823 -2671.27072160861 Inf 3973.84239898147
2991.90678805131 5352.01709101669 1617.87882121131 -2781.34046382007 Inf 4116.61724532563
3288.76049188217 5379.90762410115 1833.46490556723 -2746.15755513377 4187.8997820259 4075.26332422329
3096.94869111233 5334.61190696801 1694.63342724823 -2752.15652999866 4227.14515427877 4068.81960890505
2599.7531336439 5041.1043389068 2120.75281594197 -2596.00098184912 3980.10510440258 3828.23672558398
2899.70020353304 5345.68912774855 1938.74887334622 -2753.8288280245 4219.23155451896 4155.48495632427
3200.09997552735 5485.6853942054 1881.27396491132 -2835.02598059846 4409.36967819738 4281.79098872776
3062.14045941988 5348.53199516506 1942.708489228 -2727.170181502 4369.16943902086 4126.11270095016
3547.34989648851 5421.96038848873 1835.24750567303 -2810.80666467818 4369.2018213821 4230.02319513151
2915.63619722351 5187.69150269926 1837.1469080963 -2668.88940063452 3988.99765302904 3850.73561829687
3271.9802386746 5434.84082219782 1766.94460394555 -2811.62055022832 4372.54269072134 4243.77808221193
3322.26314008614 5636.78767212354 1791.16823111026 -2907.62815900371 4584.41744637251 4441.92341915936
2775.93439670137 5405.09274075264 1945.28456393438 -2794.55612990598 Inf Inf
2482.81685686679 5031.03669884507 1883.63336163634 -2598.14709124867 3955.80775187065 3855.72660598621
3468.03076630807 5322.36835588443 1796.04799066666 -2746.30320173844 4262.43450416994 4139.45684160622
3241.49951694796 5354.08417463396 1692.16132051964 -2753.14360973973 4225.27077911559 4058.22805201136
2835.30930147624 5331.68194707399 1921.1236360632 -2758.13263949593 4198.74729242254 4102.29952930252
