"drpm" "wddp" "lddp" "gmddp" "indcrp" "longcrp"
1379.77218049838 2766.91789774454 2793.3076811274 -1451.86082610202 1653.60465755087 1657.68407121173
1468.41479700228 2769.33254948962 2794.18788359202 -1445.080541882 1719.47846900153 1633.16351431519
1603.29796411274 2783.47903750423 2817.91358850403 -1458.99631559546 1771.82465250872 1690.77548818451
1491.20059182977 2791.91169805075 2828.40552868682 -1454.83912729229 1705.19749174619 1658.78189907261
1413.85372581836 2766.50186009183 2773.67753526394 -1437.9964850386 Inf 1638.79209805252
1491.76771740847 2839.31316952274 2840.51702980897 -1480.04379972292 1714.02966241158 1711.42209356003
1612.73550273061 2847.58768830179 2871.26755357877 -1480.93231791486 1825.31982806972 1724.05382184315
1491.56714907746 2867.40984485859 2887.58608387387 -1494.77329224051 1748.88710705217 1725.06064128206
1593.57060257059 2907.43727836102 2939.94327413318 -1521.86074297804 Inf 1800.29125173962
1439.0260858362 2796.04911905788 2805.51699883989 -1464.4472273793 Inf 1671.1875760093
1459.95648156395 2830.59523820426 2857.298065344 -1471.09830319962 Inf 1706.86732630021
1538.02853314158 2892.92441155327 2911.58439152894 -1507.82069796796 1835.90898020526 1768.08863670283
1543.75422568078 2841.30246530546 2842.21517662492 -1482.38333818931 1754.94455850343 1723.01209521173
1532.00989508369 2922.07582536746 2939.68431281872 -1522.87341209249 1836.4436430242 1794.56618935684
1503.25507249832 2878.14071020538 2906.23703721419 -1498.53208885422 Inf 1724.57504624183
1576.10686117702 2920.78159740499 2941.64232721478 -1522.13458191001 Inf 1785.40464053947
1730.38496622804 2894.99868729578 2914.63772564327 -1506.82257260721 1807.41932659056 1774.11021197578
1605.42602993117 2852.62238859006 2872.66867770103 -1496.48322866741 Inf 1741.54342357525
1540.15249017224 2840.76189325804 2853.22588433868 -1492.52753330545 Inf 1741.36780257962
1508.92244749472 2893.34199349173 2915.36172165956 -1510.31801086282 1806.38232280424 1775.8884503447
1497.31622445368 2813.023342388 2859.85852042746 -1472.12026145598 1792.00587737128 1706.72824427046
1579.15140735719 2903.68615583903 2914.20542843925 -1511.97955388905 1806.20456520534 1762.0830477003
1484.7008413926 2842.15665682849 2854.38866849144 -1477.64275892612 Inf 1699.13499792369
1491.62739374948 2808.06245963833 2838.26560967783 -1463.97527663472 Inf 1700.12444244694
1562.33180826669 2856.68797836194 2890.25041668788 -1501.62829111252 1742.96437034251 Inf
1385.93825079448 2751.90044169768 2764.07649128374 -1430.77941214399 1645.63492206511 1625.68376090175
1528.01734198444 2855.43590066849 2879.02041860607 -1486.70933258378 1763.83954339344 1733.25467900368
1540.51711829546 2884.34977774523 2911.33801801518 -1511.52895143102 Inf 1787.50379332376
1692.74677111868 2851.32740586801 2862.34279202285 -1486.65822834138 1790.65601081077 1748.84711512406
1632.80744188752 2915.7775137857 2962.20592251612 -1519.103523337 Inf 1793.36457562237
1451.18707367301 2834.13595065696 2848.32762332782 -1477.64704959236 Inf 1693.99045723075
1463.87843013961 2836.85760793751 2851.04076014203 -1477.48177107551 Inf 1698.8660250209
1587.21536207162 2910.52619507262 2924.50678715176 -1522.34221744022 1845.5927402946 1802.17220948804
1643.03372553599 2819.00548414201 2856.8244209744 -1485.30629083658 1732.91754405125 1752.81870195696
1628.71494582327 2877.02614552472 2910.18802514076 -1502.83737318952 1877.94401160854 1793.30082697774
1462.36488610317 2884.73828313783 2904.22865727523 -1500.2503947961 1741.59072956382 1743.91765436698
