"drpm" "wddp" "lddp" "gmddp" "indcrp" "longcrp"
1609.03942742209 2331.93231242174 1468.75657142697 2342.26274786924 Inf 1709.78573274021
1500.48928561091 2342.53566321133 1453.37775208561 2374.49942126385 1722.38390355485 1700.8162105914
1548.33242416209 2356.59631654234 1474.44864552324 2408.4267154368 1748.06254486167 1737.82554452694
1452.22924963692 2328.25816964067 1426.45874981957 2336.8791080044 1684.29816632623 1670.91942274501
1694.33811638702 2331.31961147671 1399.90842279811 2341.3286645966 1679.80288814152 1641.05797395542
1607.74340865964 2367.71640095535 1574.99224832713 2417.79058654091 Inf 1768.44464907615
1538.90074514011 2328.63070784095 1493.72543288579 2385.81810388267 1748.16811309269 1729.53028786233
1507.58138126136 2355.6846078211 1474.85572113842 2355.21853824081 Inf 1706.46546601538
1555.51768973439 2316.12612165752 1535.42157165341 2316.56255370001 1698.9342385066 1668.10240051665
1573.56584253351 2321.8702725663 1471.414218458 2330.18995215043 1730.65544524226 1694.18047272713
1624.88775964472 2322.47918158339 1455.4882221366 2360.96541494652 1737.58698129991 1711.64099893645
1534.59419314425 2324.26714197683 1458.78704192026 2376.83086217493 1708.62578924121 Inf
1565.53026897837 2327.25391228035 1425.05915854475 2349.14416381801 1735.69875394837 1706.27795743139
1572.52753657133 2331.59985954795 1467.39653772517 2366.19708177695 1708.00619884978 1697.65146207199
1579.10477976353 2306.77588456768 1555.73860761338 2348.42676268579 1727.00327525045 1702.89475680827
1663.14374791183 2364.24820612056 1444.88849135586 2365.36466875197 1761.73534618219 1737.10881157169
1669.34612746464 2359.44224389258 1454.59181691006 2372.92548854972 1723.27025924391 1681.58465261972
1659.33463527774 2353.08756654368 1507.83455130567 2369.25224620367 1750.62765647626 1703.78412788581
1575.61571345986 2354.95337175915 1474.67584063527 2382.32978388179 1732.94045571699 1754.1487142899
1606.40501687016 2318.05120574034 1504.18197018987 2354.44167840507 1733.45048452727 1698.55902236135
1599.39706410566 2353.82696476058 1581.11304604585 2372.84209199534 Inf Inf
1556.83161980601 2321.84558760863 1489.56262098084 2352.17853400769 1741.75384978842 1724.02007485557
1524.18051374513 2324.12515712167 1325.6476454348 NA 1664.87148932782 1682.81144886406
1605.21083119005 2322.47049219032 1518.66775831035 NA Inf 1695.64391413817
1595.83050167126 2334.43297308827 1541.56625448738 2376.18678145894 Inf 1718.07660660168
