"gamma" "alpha"
0.886272222222222 0.878476286264237
0.787856111111111 0.781761432544998
0.788765555555556 0.782734699377316
0.786979444444444 0.781514537131195
0.796943333333333 0.791502260314291
0.799458333333333 0.793414347017289
0.816568888888889 0.810541912971409
0.812746111111111 0.806484978596216
0.795502777777778 0.789152490290185
0.858289444444444 0.85142663073879
0.796638888888889 0.790776230598676
0.831855555555556 0.825704196385475
0.790835 0.785394774097777
0.787775555555556 0.781736398729551
0.790703888888889 0.785120400209192
0.81134 0.805049934834684
0.872173888888889 0.864935750942737
0.872569444444444 0.865396548093884
0.825021666666667 0.818871608697023
0.817877222222222 0.811143067375178
0.800105555555556 0.794090902210603
0.819119444444444 0.813160514141117
0.845761111111111 0.838755432638713
0.790754444444444 0.784708590273954
0.820332777777778 0.814189557294183
0.808125555555556 0.801918436068443
0.788054444444445 0.782689350172517
0.840997777777778 0.834243192302769
0.798511111111111 0.7933474328166
0.840623888888889 0.834176877474992
0.863375555555556 0.855866558652147
0.896949444444444 0.889286399271867
0.789583333333333 0.783710493030423
0.789427777777778 0.78372264088567
0.79678 0.791048843838878
0.790345 0.784413091698452
0.865150555555556 0.85781245072881
0.813007777777778 0.80637517854205
0.828110555555556 0.821898587272193
0.850636111111111 0.843891429211696
0.801907777777778 0.795837592064499
0.827518888888889 0.821370143758759
0.832612777777778 0.82646234252937
0.789948888888889 0.784672272381652
0.828689444444444 0.822499275098402
0.785904444444444 0.780203130169862
0.798086111111111 0.791796075990278
0.826421111111111 0.820038184217988
0.796003888888889 0.789798747953752
0.814365 0.808006680791609
0.817345 0.811089569758934
0.858902777777778 0.851726969932962
0.832883333333333 0.826128445371594
0.823703888888889 0.817421948288656
0.793266111111111 0.787301449119754
0.834477222222222 0.82778848247416
0.803415555555556 0.797472334388547
0.798692222222222 0.792733306101208
0.830713888888889 0.82372106103297
0.886768333333333 0.879343407817773
0.813213333333333 0.807447183662617
0.791912777777778 0.786142220599972
0.795375 0.789482835913279
0.832868333333333 0.826902331047089
0.785611666666667 0.780267839492292
0.821263888888889 0.814903369185926
0.794211666666667 0.788765475650791
0.850385555555556 0.843463557390053
0.789036111111111 0.783137913587905
0.852429444444444 0.845179690200695
0.836317777777778 0.829681436675711
0.832983333333333 0.826490465521446
0.852393888888889 0.845376212370793
0.808796111111111 0.803048326234359
0.817055 0.810975448200458
0.823697777777778 0.817245959160279
0.790530555555556 0.785052383025025
0.869266111111111 0.862225061821412
0.806411666666667 0.800841342584718
0.847724444444445 0.840978054870556
0.883437777777778 0.875925379119899
0.787893333333333 0.782785135940992
0.789128333333333 0.783704301923139
0.831308333333333 0.82454164289141
0.83454 0.828469950376503
0.842970555555556 0.835970399676452
0.797641111111111 0.791365581839778
0.794813333333333 0.788912778529205
0.794392222222222 0.788409730628794
0.792642777777778 0.787335191140945
0.801451666666667 0.795511893622302
0.822235555555555 0.815845616546564
0.836831666666667 0.830279534896413
0.790558333333333 0.784902516255472
0.814233333333333 0.808366651215724
0.788377777777778 0.782700923352388
0.795506666666667 0.789539818212281
0.888276111111111 0.880769698844183
0.784308333333333 0.7784359332539
0.784810555555556 0.778959841416649
