"gamma" "alpha"
0.86006125 0.852266928684218
0.82600625 0.819914304590763
0.82834625 0.820794097100003
0.79892125 0.793455589929336
0.84225125 0.835474731909476
0.83366875 0.827247749483033
0.82376125 0.817244060418771
0.843825 0.837284772980884
0.79594125 0.79080578380376
0.817815 0.812077552291226
0.829065 0.822438650993758
0.83271375 0.825992592843425
0.83068375 0.82451832384715
0.8283425 0.821716845448035
0.7889125 0.78292682767071
0.83062375 0.823694861897484
0.838015 0.831858589055251
0.803555 0.796708808748354
0.7994 0.792953933750647
0.80363875 0.796892501131708
0.82283875 0.816214026440249
0.81500625 0.808647544498997
0.8011325 0.796425023427123
0.78018875 0.774402970365987
0.837265 0.830747177431325
0.826225 0.820330485323212
0.80930875 0.80340531032477
0.8596175 0.852933188463523
0.797665 0.792094034423833
0.7905775 0.784607705081622
0.81522 0.808992526531666
0.80908875 0.803060194277162
0.80151625 0.79559657574566
0.8384975 0.83153508202217
0.81974 0.813065848040076
0.8151825 0.809960613020237
0.8282975 0.821573817932583
0.8238725 0.81802045121414
0.8335925 0.827470856104925
0.80403 0.79800465297128
0.8090175 0.803411360205084
0.88294 0.875639523837138
0.85626 0.849246984772521
0.81472125 0.809220102458937
0.83828875 0.831151898453731
0.81333625 0.807237166791471
0.81280625 0.806665664134571
0.8099375 0.803553242782285
0.79497375 0.788928958116925
0.84161 0.834608557239432
0.82567875 0.819290549682812
0.831465 0.824747038902861
0.8139375 0.807614466888165
0.8243125 0.817381854699914
0.8515375 0.844335221572366
0.82223125 0.816054360203067
0.83414375 0.827508777338627
0.88169875 0.874297579808979
0.78992 0.784271693073618
0.86598625 0.858250229085839
0.81861 0.812560508073667
0.8385275 0.831468590622282
0.82653625 0.819464212753607
0.79850625 0.792483182149606
0.8166575 0.81101333682966
0.8121 0.805720340358169
0.82640125 0.819713439262714
0.80187875 0.79590837423505
0.80599875 0.799672265198477
0.814185 0.807422502942246
0.84933375 0.842765690167362
0.8262275 0.818708614562788
0.78552375 0.780496538812441
0.83274625 0.826074935338274
0.82370875 0.817098575183278
0.8419525 0.835334761262263
0.852805 0.846428040966778
0.84068375 0.833175598357179
0.81700625 0.810940249689512
0.82286875 0.816026826781468
0.8318125 0.825289230186353
0.7865325 0.781702780476666
0.79934125 0.793751230096825
0.847025 0.83933380794975
0.8221275 0.81598759119583
0.8265875 0.82054419692744
0.820305 0.814500860770631
0.825735 0.819948458594714
0.83585 0.829072401215844
0.8019175 0.796455577119582
0.82663125 0.820538572025864
0.827575 0.821036135382757
0.82941375 0.822987441182916
0.83410875 0.827606361435277
0.84079125 0.833013487986359
0.809985 0.803848183316868
0.83626875 0.830264749528969
0.844305 0.837693975465967
0.8264125 0.820219590951825
0.84909375 0.841733298110337
