"drpm" "wddp" "lddp" "gmddp" "indcrp" "longcrp"
1500.32063311721 2335.33625201313 1467.76674257491 2354.79815263151 1736.52702887661 1699.1478298782
1511.13754782039 2331.92231163888 1392.58990071274 2373.41118629412 1729.27643435823 1717.7017092012
1576.1800320727 2351.51960051431 1480.56874954743 2382.62632585394 1743.83166071559 Inf
1601.80814356058 2310.05567141026 1466.46486786392 2312.75673819508 1670.47121662454 1654.73750675886
1612.90893530412 2338.85778555806 1386.15562222429 2359.92441805039 1731.71698026253 1709.02863183139
1425.83428752603 2314.69872414955 1361.48869643889 2319.01018868106 1704.89658828928 1662.35156166701
1653.81668420876 2343.37502294429 1468.94765378779 2350.08454761097 1711.71846255937 1692.43903422191
1519.48852909261 2339.39732198857 1435.77445935134 2352.84042944922 1698.92152575546 1694.92554179398
1593.40024829543 2322.67445636755 1486.66123569882 2351.78051888196 1724.02925297219 1688.07432075419
1566.25827341335 2294.96046035096 1276.31785319422 2308.51540904964 1672.2880991206 1666.6373879811
2073.26497473548 2348.83699718822 1509.63151217978 2401.30087398594 Inf 1717.68007762029
1508.92290204683 2318.00768133246 1468.26878377262 2382.37160243087 1713.34204095491 1699.38259049329
1529.01126541059 2335.0931753349 1437.374209681 2350.25192913172 1712.34471271371 1681.25346426454
1569.77933190327 2333.32176858763 1488.63978562998 2348.48681311339 1708.98571926633 1694.36757580921
1513.90113368167 2330.61966053619 1493.30986848353 2318.66212972746 1675.96209110235 1649.30433481824
1693.04210283768 2324.19338466941 1518.8323438355 2377.5853979066 1726.30985592927 1714.86261985816
1615.31827265006 2339.76006589535 1494.52726421511 2344.34344810076 1703.76277446575 1698.55274142674
1591.31180291459 2316.79280166788 1465.20653021897 2315.29688529657 1692.42673302719 1681.47069160477
1575.81280523146 2338.9127118408 1473.86942652658 2367.15198077252 1762.95695099435 1739.13948926913
1562.01142351285 2337.04838823314 1482.05528660832 2350.12626722846 1723.24364938271 1696.02731036222
1542.16750163234 2323.18645966803 1512.2757224802 2338.96645718335 Inf 1724.81949226006
1638.08669267757 2345.89850104003 1498.97401468504 2370.97330230691 1766.53497470497 1739.64783381927
1634.47954405234 2353.16145995203 1415.45889639515 2373.81170013691 1737.0119513678 1715.39542783351
1472.09467827462 2334.99797895541 1426.43810091612 2329.59214626488 1691.55317556675 1653.20444902288
1514.96637412915 2337.95787499976 1502.04143090673 2372.16010108872 1708.29605956867 1701.87817283534
1423.42905219053 2336.88996955854 1474.84357335494 2327.97153668231 Inf 1655.35037443099
1595.52657765359 2307.34306392369 1486.99594546243 2322.55241009128 1706.54037156028 1678.03735869334
1576.91413840794 2334.18624165474 1516.01298041158 2386.40457746983 1734.08998468447 1728.24424084633
1652.88740957882 2332.96275969773 1531.2206892024 2320.35536901691 1706.99841652214 1690.74933313224
1699.47812679877 2320.04461497865 1505.81281281471 2371.84174081357 1763.78500908264 1736.40748921695
1504.25472286383 2301.96055541789 1417.95192689636 2327.26990030966 1697.30318616169 1674.78024256576
1512.40657002201 2332.34788560744 1449.37094575641 2385.69885302738 1739.82490396181 1704.23905728462
1548.85391535489 2334.92174467461 1469.63372377268 2367.65706573233 1714.6410075802 1675.10379538081
1638.56482071376 2333.85992249238 1518.17390678274 2348.0109322375 1732.87166372389 1723.14852491372
1546.22614734712 2317.65366217873 1491.77952609325 2362.16708997558 Inf 1701.68371617824
1540.07352593575 2332.73000632069 1462.4889136388 2343.41167375081 1711.05498608339 1694.77910005634
1652.16065364911 2301.07524219798 1509.84595309987 2340.41467708439 1710.75360880237 1701.42657060705
1577.62356776724 2314.89254014104 1404.05539374068 2347.5869491093 1699.57161797911 1685.7222667565
1512.79106172736 2351.1625988181 1505.51029886755 2386.6826583503 1764.91438899943 1750.42413617346
1575.3967616783 2310.42876147777 1520.95097678447 2326.53260984004 1713.95441319635 1700.12025278038
1608.17307135886 2330.34106490186 1463.33981757753 2336.87888300498 1707.47777775775 1667.27371891388
1572.63318171055 2322.40559530134 1362.56693485513 2313.77803988375 Inf 1676.70622571428
1478.73878019993 2328.40010608426 1464.55695512355 2333.37704645665 1716.4537297046 1672.11860222666
1533.00029847986 2323.11688575519 1478.59973455964 2342.14253419292 1690.74008289159 Inf
1563.80483430284 2342.21314300239 1472.09680017555 2383.91189067345 1737.57700737788 1729.31802712812
1588.7007984875 2359.49859091347 1510.79104332186 2375.94224259909 1728.53513418733 1721.66703722837
1646.01228905942 2334.13999660407 1459.79376944635 2357.21174942306 1733.67014688262 1700.62776840243
1533.0628490866 2334.27065554718 1476.74427111764 2354.04700029072 1689.19668401931 1703.20508294014
1525.30521014504 2308.15411009132 1480.51553011967 2349.0030823611 1702.39759304233 1666.6354865164
1512.07661289926 2321.09273761312 1447.31687297627 2346.42035054108 1698.55044212088 1671.96346496914
1634.37848455396 2346.51371232238 1463.55888725649 2360.08166906684 1720.2877290195 1693.00587964877
1552.89631681684 2326.61600412618 1452.87989215613 2348.84406592302 1727.69433540024 1704.14161725855
1528.45331647072 2359.82139922271 1439.53554480101 2384.00146354344 1736.83130144007 1733.29295058596
1549.11307609119 2297.67659311222 1555.17222015807 2324.85081928634 1711.9270354355 1690.05838477228
1611.16548789961 2321.13616254356 1465.04695564528 2337.08355257998 1695.59295707202 1670.93464023056
1614.63639193969 2339.28496014183 1435.77998167768 2356.03264636021 1728.67401030919 1710.23107805142
1564.24876784694 2328.47186394606 1486.48989933868 2355.96697831605 Inf 1709.70266769345
1617.31837763666 2327.53430480313 1531.40274486426 2362.11411701511 Inf 1710.63678823454
1576.46240434139 2341.87617936081 1493.3431528006 2342.89764497778 1694.0888568124 1699.48142404193
1547.95664239378 2325.57562093907 1562.02932901301 2334.79876792547 1712.57584123647 1711.91728578857
1581.67347005635 2336.2385910802 1492.67307385742 2341.29426061851 1707.77466266427 1681.69473783887
1589.33955628678 2329.78400281053 1514.21724022077 2357.06089672331 1731.61675322302 1680.72866904046
1533.77414454503 2316.03249566493 1444.9878508432 2342.97404752951 1685.27193049376 1658.63188196849
1592.6053683153 2319.28871436454 1419.28045681658 2368.67078325776 1691.8234635572 1681.52990830741
1650.60896668984 2331.97897361767 1474.90638143099 2350.42151889331 Inf 1703.72394883931
1504.83109330147 2290.09745922466 1545.11557497621 2348.00774737032 1674.30234287404 1680.16016119809
1509.35554330581 2322.66031951231 1474.0127494147 2338.77471927208 1715.06387688957 1687.91763820635
1653.13200185633 2285.68516759232 1451.04443003181 2303.43374135974 1666.19970424955 1643.55297065901
1581.6232653568 2331.24533073097 1524.88766620906 2364.41030955128 1742.49251293241 1721.97409626109
1513.01180240756 2326.16750531424 1505.57273527147 2331.43919430959 Inf 1701.38699434533
1539.36009224462 2334.84980514556 1480.32889570278 2350.97740246673 1727.11686675834 1705.49569429235
1506.76662512347 2314.21752574573 1328.67798660238 2321.80662407026 1704.0222127194 1662.68224654769
1527.62693139202 2337.20063137391 1482.69136844228 2359.65958446184 1696.2858574905 1716.04647350822
1571.37063891334 2335.15993604175 1493.20129006294 2368.76330142588 1733.45243389491 1689.37774995922
1544.55865107894 2372.45943706006 1505.25196643245 2366.48857644972 1759.23771468723 1744.45851928292
1644.72013992581 2299.36324484709 1448.80161829643 2328.53404312804 1677.48026178543 1647.59216517567
1480.80206957001 2325.45704458986 1389.9727847537 2313.00857505421 1703.83941553956 1676.09866006436
1631.09305937036 2320.42963733083 1537.65257485254 2354.57250211135 1737.82950300844 1699.95090288467
1664.21004523547 2338.42240953805 1557.61246917795 2361.59715439751 1749.81491256862 1737.06535901164
1544.38667841192 2316.8458640836 1490.95685155908 2340.3686794811 1707.56762475404 1676.48533121294
1509.03439343324 2338.88516625732 1356.93109957906 2365.95739605592 1723.69508540224 1691.14216184244
1536.38098393823 2342.35423105742 1489.48366046376 2361.48714352286 1735.53261344747 1714.44855838247
1575.83718810354 2324.10371602606 1402.29129336581 2331.14385066309 1702.06443398869 1650.4655589232
1548.88443846222 2314.1172763247 1413.72670585552 2332.99299535245 1711.66425389576 1695.70935824736
1554.06251741403 2327.72297878929 1454.51170640822 2368.29187297684 1705.53374149225 1678.69397370787
1674.18798234486 2364.81785345478 1538.9326910222 2419.99430121008 1767.61107707061 1753.66665775974
1524.27607730269 2345.63771558238 1460.14537818781 2368.79629713426 1728.73869404351 1721.29957135751
1586.60339426256 2329.26461100143 1537.48396038387 2371.26842486866 1725.46778630488 1693.64584464504
1561.35387145374 2317.75929813766 1431.49876275378 2321.22605159387 1691.00676915608 1672.86801217046
1545.30335992164 2335.0829487802 1445.75119600248 2336.39911368187 1700.98341910797 1688.19137534315
1493.10283334889 2327.32904717224 1437.32730447303 2336.89227833225 Inf 1693.22447269053
1613.09031060852 2315.00466486906 1476.64833137614 2342.29595161056 1702.84250757086 1692.11502835796
1580.78645054387 2353.09625352123 1512.9971064221 2371.87580622997 1722.29977639378 1701.19267943293
1461.88861762776 2338.86706612951 1418.3723268204 2376.56869461617 1707.3634513979 1693.65697208325
1579.21656428501 2326.68999693767 1508.2112172536 2342.79623798947 1729.98000055866 1700.50305606414
1652.89272689616 2320.37791640195 1415.49773293832 2320.75332070596 1703.80461935951 1662.79601219726
1662.97002228509 2353.75541439392 1500.38735300454 2360.66006563951 1756.93757217286 1740.33906479589
1582.55497658456 2320.65871106194 1527.99549138726 2368.34849113629 1749.64067337133 1733.48589604454
1529.3899612321 2348.61799899894 1468.06973745468 2344.11084618944 1722.88808148197 1685.79853577428
1626.89458316231 2343.35772814997 1457.06670298097 2369.97008177367 1738.61825696333 Inf
