"drpm" "wddp" "lddp" "gmddp" "indcrp" "longcrp"
3407.01059289306 4533.8913377277 3604.08288003958 -2315.72640733334 3393.07131874363 3359.67782299996
3660.17940295628 4506.78009920998 3784.49969071789 -2306.48696421982 3403.94887123683 3351.78272027109
3429.33943741863 4556.99673946418 3617.30063890939 -2316.9466025586 3392.25543250376 3398.36992838066
3662.73422747358 4560.86712763625 3773.03876037153 -2324.16719780463 3483.74461811391 3412.83970584192
3430.68284725872 4578.73139812209 3886.63718569285 -2355.83299892241 3458.9560051495 3411.22301175806
3486.28763009765 4565.79837133104 3811.71474575254 -2342.65392200625 3487.01383594742 3415.03021573078
3466.07253824006 4588.00279854743 3878.40852816658 -2361.37092992545 3457.00693777233 Inf
3515.37940103513 4569.58030057629 3794.11313840026 -2356.63978348936 3452.46859801073 3426.93061096365
3507.29455882602 4508.28501777543 3693.7758528918 -2318.63830503221 3446.16388313699 3386.90461664255
3806.00711758068 4631.58810253004 3742.04291955519 -2359.49958350542 3513.4670623443 3504.75965068632
3467.67896086556 4573.8471922912 3713.25802004715 -2336.61842828286 Inf 3425.72329879917
3327.44044901581 4519.85538612843 3887.58855122792 -2327.81877083739 3418.37791156875 3393.05628172743
3420.18177912956 4534.19229745919 3821.50206566124 -2351.25556733285 Inf 3409.53789291099
3597.52715649041 4535.95867678427 3754.08306883522 -2342.459659049 3466.35393978419 Inf
3445.17260146058 4591.64609120452 3878.55053345399 -2372.51819978742 3488.67532533677 3429.14502854004
6179.45351824447 4546.6613408513 3765.7142834799 -2341.13881347526 Inf 3408.61978419046
3427.90969186877 4579.20629775122 3716.66659329597 -2346.84635395582 3456.66271626166 3431.11614394937
3316.90014408376 4504.67969325527 3865.20654843816 -2315.81301757541 3438.74088069329 3343.99385462514
3512.96519914904 4559.34025611673 3942.93990471764 -2336.12381676648 3476.31653196505 3420.53961403186
3328.18645149231 4550.91330192937 3807.87135306243 -2328.52218739398 Inf 3398.69267330924
3439.08566744055 4537.35094440922 3777.94805037299 -2327.69558429203 Inf 3416.83022155431
3509.92114847554 4629.90976978304 3855.68834289191 -2372.18583394532 Inf 3478.61258819823
3484.54943316165 4534.38678183585 3629.16914102429 -2327.31261381035 3374.98115520943 3400.38756246126
3413.18506894658 4543.52915328843 3800.90357563465 -2329.07293167777 3471.71996036889 3413.32093460191
3454.55903434291 4539.19593824815 3764.50781937823 -2349.68012011697 Inf 3419.83460793742
3355.75284525395 4548.86827408741 3601.37388153327 -2330.59250897515 3413.65142286675 3433.30946391219
3462.88603497031 4551.18123533594 3738.43770474418 -2346.26541574396 3440.87930095314 3432.2560782702
3537.06359143232 4586.59555523228 3858.19098227121 -2362.70305645918 3491.23316736655 3447.69548833159
3393.59409324941 4561.0150073202 3823.30512975466 -2349.6609842808 Inf 3429.23063517754
3610.02542975222 4603.50347640685 3895.28714914477 -2375.87006387352 3537.38794235945 3467.73605439142
3651.26605988128 4559.3874279751 3768.37846165346 -2343.35498571184 3411.41058198342 3426.0251930467
3575.84982263039 4557.60700695126 3708.0465708507 -2329.72288770523 3492.55930405129 3419.43855355993
3388.11469770607 4579.27123596864 3864.48819195153 -2349.69627037236 3464.24148504592 3450.82346642002
3604.90318131302 4562.81394746522 3667.88953811964 -2349.10745625558 3532.59765658477 3438.68848926626
3442.31049552542 4568.81241299241 3815.9370512066 -2364.61264643732 Inf 3433.44508384604
3408.71692906361 4544.9580670627 3732.3981076731 -2333.10427656415 3435.05965237307 3417.46016212755
3567.76377781204 4621.39381125586 3832.10553148652 -2376.28883961373 3527.92749599169 3501.06171928645
3437.76149056768 4569.15160418263 3816.09605487115 -2349.93390433191 3445.52144620749 3421.03871686536
3575.04787450339 4556.66983249932 3822.6545130595 -2350.46547988194 3475.77396202254 3437.26505911435
