AGRIMONIA DATASET;AGRIMONIA VARIABLE NAME;DESCRIPTION;MEASUREMENT UNIT/VARIABLE TYPE/FORMAT;DATA SOURCE;DESCRIPTION OF SOURCE;WEBSITE;SOURCE FORMAT;COVERED TEMPORAL SPAN;TEMPORAL RESOLUTION (input);TEMPORAL TRANSFORMATION §3.1;TEMPORAL RESOLUTION (output);SPATIAL RESOLUTION (input);SPATIAL TRANSFORMATION §3.2 - 3.5;SPATIAL RESOLUTION (output);SOURCE VAR NAME;SOURCE LABEL
HEADER;IDStations;Unique ID (uid) of station present in sensor network [For detail see Station_Registry.csv file].;-;ARPA Lombardy;Regional Environmental Protection Agency of Lombardy (ARPA Lombardy) - provides hourly and daily measurements for: PM10 PM25 CO NH3 NOx NO2 SO2 for Lombardy sensors network;ARPA Lombardy (arpalombardia.it);.csv;2016-2021;None;None;None;None;None;None;IDStations;IDStations
;;;;EEA;The European Environmental Agency's (EEA) - provides hourly and daily measurements for: PM10 PM25 CO NOx NO2 SO2 for European countries;European Environment Agency's — European Environment Agency (europa.eu);.csv;;None;None;;;;;AirQualityStation;Local id of the station
;Latitude;Latitude of station;Degrees;ARPA Lombardy;Regional Environmental Protection Agency of Lombardy (ARPA Lombardy) - provides hourly and daily measurements for: PM10 PM25 CO NH3 NOx NO2 SO2 for Lombardy sensors network;ARPA Lombardy (arpalombardia.it);.csv;2016-2021;None;None;None;None;None;None;Latitude;Latitude of sampling point
;;;;EEA;The European Environmental Agency's (EEA) - provides hourly and daily measurements for: PM10 PM25 CO NOx NO2 SO2 for European countries;European Environment Agency's — European Environment Agency (europa.eu);.csv;;None;None;;;;;Latitude;Latitude of sampling point
;Longitude;Longitude of station;Degrees;ARPA Lombardy;Regional Environmental Protection Agency of Lombardy (ARPA Lombardy) - provides hourly and daily measurements for: PM10 PM25 CO NH3 NOx NO2 SO2 for Lombardy sensors network;ARPA Lombardy (arpalombardia.it);.csv;2016-2021;None;None;None;None;None;None;Longitude;Longitude of sampling point
;;;;EEA;The European Environmental Agency's (EEA) - provides hourly and daily measurements for: PM10 PM25 CO NOx NO2 SO2 for European countries;European Environment Agency's — European Environment Agency (europa.eu);.csv;;None;None;;;;;Longitude;Longitude of sampling point
;Time;Date;yyyy-mm-dd;ARPA Lombardy;Regional Environmental Protection Agency of Lombardy (ARPA Lombardy) - provides hourly and daily measurements for: PM10 PM25 CO NH3 NOx NO2 SO2 for Lombardy sensors network;ARPA Lombardy (arpalombardia.it);.csv;2016-2021;None;None;None;None;None;None;Time;Time
;;;;EEA;The European Environmental Agency's (EEA) - provides hourly and daily measurements for: PM10 PM25 CO NOx NO2 SO2 for European countries;European Environment Agency's — European Environment Agency (europa.eu);.csv;;None;None;;;;;DateTimeEnd;Defines the time of the measurement or the time point of the date after the transformations
;Altitude;Elevations of the stations;m;ARPA Lombardy;Regional Environmental Protection Agency of Lombardy (ARPA Lombardy) - provides hourly and daily measurements for: PM10 PM25 CO NH3 NOx NO2 SO2 for Lombardy sensors network;ARPA Lombardy (arpalombardia.it);.csv;Fixed;Constant;None;Costant;Point;;Point;Altitude;Elevation
;;;;EEA;The European Environmental Agency's (EEA) - provides hourly and daily measurements for: PM10 PM25 CO NOx NO2 SO2 for European countries;European Environment Agency's — European Environment Agency (europa.eu);.csv;Fixed;Constant;None;;;;;Altitude;Elevation
AQ;AQ_pm10;Concentration of particles with an aerodynamic diameter of less than 10 micrometers (µm);μg m^(-3);ARPA Lombardy;Regional Environmental Protection Agency of Lombardy (ARPA Lombardy) - provides hourly and daily measurements for: PM10 PM25 CO NH3 NOx NO2 SO2 for Lombardy sensors network;ARPA Lombardy (arpalombardia.it);.csv;2016-2021;Daily;None;Daily;Point;None;Point;PM10;PM10
;;;μg m^(-3);EEA;The European Environmental Agency's (EEA) - provides hourly and daily measurements for: PM10 PM25 CO NOx NO2 SO2 for European countries;European Environment Agency's — European Environment Agency (europa.eu);.csv;;Hourly & daily;Kalman-Smoother and Mean;Daily;Point;None;Point;PM10;PM10
