IDSensor,IDStation,Pollutant,NameStation,Altitude,Province,Latitude,Longitude,ARPA_zone,ARPA_stat_type,LAU_Code,GISCO_ID,CNTR_CODE,LAU_NAME,POP_2020,POP_DENS_2,AREA_KM2,FID,NUTS3_Code,NUTS0_Code,NUTS0_Name,NUTS1_Code,NUTS1_Name,NUTS2_Code,NUTS2_Name,NUTS3_Name,NUTS3_UrbRur,NUTS3_Remoteness,NUTS3_Metropol,NUTS3_Coastal,NUTS3_Mountain,NUTS3_Border,DateStart,DateStop,Frequency,Source
10431,1264,NOx,Sondrio Via Paribelli,290,"SO",46.1678524406651,9.8792099244699,D,UB,014061,IT_014061,IT,"Sondrio",21457,1027.29947944,20.8868012,IT_014061,ITC44,IT,Italia,ITC,Nord-Ovest,ITC4,Lombardia,"Sondrio",intermediate,"intermediate, remote",Non metropolitan,non-coastal,> 50 % of population and 50 % of surface are in mountain areas,Border regions,2008-11-11,NaT,Hourly,ARPA (open data)
17293,1264,PM10,Sondrio Via Paribelli,290,"SO",46.1678524406651,9.8792099244699,D,UB,014061,IT_014061,IT,"Sondrio",21457,1027.29947944,20.8868012,IT_014061,ITC44,IT,Italia,ITC,Nord-Ovest,ITC4,Lombardia,"Sondrio",intermediate,"intermediate, remote",Non metropolitan,non-coastal,> 50 % of population and 50 % of surface are in mountain areas,Border regions,2012-10-09,NaT,Daily,ARPA (open data)
10432,1264,NO2,Sondrio Via Paribelli,290,"SO",46.1678524406651,9.8792099244699,D,UB,014061,IT_014061,IT,"Sondrio",21457,1027.29947944,20.8868012,IT_014061,ITC44,IT,Italia,ITC,Nord-Ovest,ITC4,Lombardia,"Sondrio",intermediate,"intermediate, remote",Non metropolitan,non-coastal,> 50 % of population and 50 % of surface are in mountain areas,Border regions,2009-01-04,NaT,Hourly,ARPA (open data)
10438,1264,PM2.5,Sondrio Via Paribelli,290,"SO",46.1678524406651,9.8792099244699,D,UB,014061,IT_014061,IT,"Sondrio",21457,1027.29947944,20.8868012,IT_014061,ITC44,IT,Italia,ITC,Nord-Ovest,ITC4,Lombardia,"Sondrio",intermediate,"intermediate, remote",Non metropolitan,non-coastal,> 50 % of population and 50 % of surface are in mountain areas,Border regions,2008-11-11,NaT,Daily,ARPA (open data)
10451,1265,NOx,Lodi San Alberto,76,"LO",45.3027835030958,9.49527369692632,A,UB,098031,IT_098031,IT,"Lodi",46050,1111.93679065,41.41422461,IT_098031,ITC49,IT,Italia,ITC,Nord-Ovest,ITC4,Lombardia,"Lodi",intermediate,"intermediate, close to a city",Metropolitan,non-coastal,Other regions,Other regions,2009-08-03,NaT,Hourly,ARPA (open data)
10483,1265,PM10,Lodi San Alberto,76,"LO",45.3027835030958,9.49527369692632,A,UB,098031,IT_098031,IT,"Lodi",46050,1111.93679065,41.41422461,IT_098031,ITC49,IT,Italia,ITC,Nord-Ovest,ITC4,Lombardia,"Lodi",intermediate,"intermediate, close to a city",Metropolitan,non-coastal,Other regions,Other regions,2009-08-03,NaT,Daily,ARPA (open data)
10452,1265,NO2,Lodi San Alberto,76,"LO",45.3027835030958,9.49527369692632,A,UB,098031,IT_098031,IT,"Lodi",46050,1111.93679065,41.41422461,IT_098031,ITC49,IT,Italia,ITC,Nord-Ovest,ITC4,Lombardia,"Lodi",intermediate,"intermediate, close to a city",Metropolitan,non-coastal,Other regions,Other regions,2009-08-03,NaT,Hourly,ARPA (open data)
10456,1265,PM2.5,Lodi San Alberto,76,"LO",45.3027835030958,9.49527369692632,A,UB,098031,IT_098031,IT,"Lodi",46050,1111.93679065,41.41422461,IT_098031,ITC49,IT,Italia,ITC,Nord-Ovest,ITC4,Lombardia,"Lodi",intermediate,"intermediate, close to a city",Metropolitan,non-coastal,Other regions,Other regions,2009-08-03,NaT,Daily,ARPA (open data)
10458,1266,NO2,Bertonico Via Moro,65,"LO",45.2334936413037,9.66625037529603,B,RB,098002,IT_098002,IT,"Bertonico",1081,51.84222599,20.85172809,IT_098002,ITC49,IT,Italia,ITC,Nord-Ovest,ITC4,Lombardia,"Lodi",intermediate,"intermediate, close to a city",Metropolitan,non-coastal,Other regions,Other regions,2009-08-03,NaT,Hourly,ARPA (open data)
10457,1266,NOx,Bertonico Via Moro,65,"LO",45.2334936413037,9.66625037529603,B,RB,098002,IT_098002,IT,"Bertonico",1081,51.84222599,20.85172809,IT_098002,ITC49,IT,Italia,ITC,Nord-Ovest,ITC4,Lombardia,"Lodi",intermediate,"intermediate, close to a city",Metropolitan,non-coastal,Other regions,Other regions,2009-08-03,NaT,Hourly,ARPA (open data)
10484,1266,PM10,Bertonico Via Moro,65,"LO",45.2334936413037,9.66625037529603,B,RB,098002,IT_098002,IT,"Bertonico",1081,51.84222599,20.85172809,IT_098002,ITC49,IT,Italia,ITC,Nord-Ovest,ITC4,Lombardia,"Lodi",intermediate,"intermediate, close to a city",Metropolitan,non-coastal,Other regions,Other regions,2009-08-03,NaT,Daily,ARPA (open data)
10587,1266,NH3,Bertonico Via Moro,65,"LO",45.2334936413037,9.66625037529603,B,RB,098002,IT_098002,IT,"Bertonico",1081,51.84222599,20.85172809,IT_098002,ITC49,IT,Italia,ITC,Nord-Ovest,ITC4,Lombardia,"Lodi",intermediate,"intermediate, close to a city",Metropolitan,non-coastal,Other regions,Other regions,2009-03-04,NaT,Daily,ARPA (open data)
10505,1269,NOx,Dalmine Via Verdi,207,"BG",45.6497025123625,9.60122333878526,Agg_BG,UT,016091,IT_016091,IT,"Dalmine",23669,2002.63360576,11.81893679,IT_016091,ITC46,IT,Italia,ITC,Nord-Ovest,ITC4,Lombardia,"Bergamo",perdominantly urban,"predominantly urban",Metropolitan,non-coastal,> 50 % of surface are in mountain areas,Other regions,2010-02-12,NaT,Hourly,ARPA (open data)
10547,1269,PM2.5,Dalmine Via Verdi,207,"BG",45.6497025123625,9.60122333878526,Agg_BG,UT,016091,IT_016091,IT,"Dalmine",23669,2002.63360576,11.81893679,IT_016091,ITC46,IT,Italia,ITC,Nord-Ovest,ITC4,Lombardia,"Bergamo",perdominantly urban,"predominantly urban",Metropolitan,non-coastal,> 50 % of surface are in mountain areas,Other regions,2010-02-26,NaT,Daily,ARPA (open data)
10507,1269,NO2,Dalmine Via Verdi,207,"BG",45.6497025123625,9.60122333878526,Agg_BG,UT,016091,IT_016091,IT,"Dalmine",23669,2002.63360576,11.81893679,IT_016091,ITC46,IT,Italia,ITC,Nord-Ovest,ITC4,Lombardia,"Bergamo",perdominantly urban,"predominantly urban",Metropolitan,non-coastal,> 50 % of surface are in mountain areas,Other regions,2010-02-12,NaT,Hourly,ARPA (open data)
10548,1269,PM10,Dalmine Via Verdi,207,"BG",45.6497025123625,9.60122333878526,Agg_BG,UT,016091,IT_016091,IT,"Dalmine",23669,2002.63360576,11.81893679,IT_016091,ITC46,IT,Italia,ITC,Nord-Ovest,ITC4,Lombardia,"Bergamo",perdominantly urban,"predominantly urban",Metropolitan,non-coastal,> 50 % of surface are in mountain areas,Other regions,2010-02-26,NaT,Daily,ARPA (open data)
